EventDate,Period,Page number (if applic),Recipient name (original transcription),Nature of recipient (original transcription),Name,Institution - common name from Exit Books,Town/City,Level of study ,School type,Denomination/organisation,No. of objects,Event information (any extra information not in list of specimens),BHL Exit Book Link,BHL School Letter Book Link (Vol 1 only)
18.02.1909,1876-1914,85,The Head Master (James Craig),"Oakbank Public School, Glasgow","Craig, James",Oakbank Public School,Glasgow,Elementary ,Board,,18,,https://biodiversitylibrary.org/page/57407600,
18.02.1909,1876-1914,85,The Head Master (R Street),"Council Schools, Walsall Wood, Walsall","Street, R",Council Schools,Walsall,Elementary ,Board,,18,,https://biodiversitylibrary.org/page/57407600,
18.02.1909,1876-1914,85,The Head Master (C Leigh),"Pleasley Council School, nr Mansfield","Leigh, C",Pleasley Council School,Mansfield,Elementary ,Board,,18,,https://biodiversitylibrary.org/page/57407600,
18.02.1909,1876-1914,85,The Head Master (A Heap),"Lomeshaye School, Nelson, Lancs","Heap, A",Lomeshaye School,Nelson,Elementary ,Voluntary,,18,,https://biodiversitylibrary.org/page/57407600,
18.02.1909,1876-1914,85,The Head Mistress (L Davies),"Heyworth St Board Schools (Juniors Dept), Liverpool","Davies, L",Heyworth St Board Schools,Liverpool,Elementary ,Board,,18,Ack Feb 24 1909 by Head Mistress,https://biodiversitylibrary.org/page/57407600,
18.02.1909,1876-1914,85,The Head Master (John Mathers),"Ballymaglave NS, Ballynahinch, Co Down","Mathers, John",Ballymaglave National School,Ballynahinch,Elementary ,Board,,18,,https://biodiversitylibrary.org/page/57407600,
18.02.1909,1876-1914,86,The Head Mistress (B G Copus),"Rutland St Board School, Swansea","Copus, B G",Rutland Street Board School,Swansea,Elementary ,Board,,18,,https://biodiversitylibrary.org/page/57407601,
14.07.1909,1876-1914,88,The Head Master,"Allanson St Council School, St Helens",,Allanson Street Council School,St Helens,Elementary ,Board,,20,,https://biodiversitylibrary.org/page/57407603,
14.07.1909,1876-1914,88,The Head Master,"County Council School (Boy's Dept), Shenley, Herts",,County Council School,Shenley,Elementary ,Board,,20,,https://biodiversitylibrary.org/page/57407603,
14.07.1909,1876-1914,88,The Head Master,"Norlington Rd Boys School, Leytonstone",,Norlington Road Boys School,Leytonstone,Elementary ,Board,,20,,https://biodiversitylibrary.org/page/57407603,
14.07.1909,1876-1914,88,The Head Master,"Park Council School, Rhondda Valley, S Wales",,Park Council School,Rhondda Valley,Elementary ,Board,,20,,https://biodiversitylibrary.org/page/57407603,
14.07.1909,1876-1914,88,The Head Master,"Zetland School, Grangemouth",,Zetland School,Grangemouth,Elementary ,Voluntary,Church of Scotland ,20,,https://biodiversitylibrary.org/page/57407603,
14.07.1909,1876-1914,89,The Head Master,"Kilnaleck Boys School, Co Cavan, Ireland",,Kilnaleck Boys School,Kilnaleck,Elementary ,Board,,20,,https://biodiversitylibrary.org/page/57407604,
14.07.1909,1876-1914,89,The Head Master,"Patrick's St N School, Wexford, Ireland",,St Patrick's National School,Wexford,Elementary ,Board,,20,,https://biodiversitylibrary.org/page/57407604,
14.07.1909,1876-1914,89,The Head Master,"Shipton School, Beningborough, York",,Shipton School,Beningborough,Elementary ,Board,,20,,https://biodiversitylibrary.org/page/57407604,
14.07.1909,1876-1914,89,The Head Master,"Ballinabranna National School, Carlow, Ireland",,Ballinabranna National School,Carlow,Elementary ,Board,,20,,https://biodiversitylibrary.org/page/57407604,
14.07.1909,1876-1914,89,The Head Master,"Manor Rd Boys School, Erith, Kent",,Manor Road Boys School,Erith,Elementary ,Board,,20,,https://biodiversitylibrary.org/page/57407604,
14.07.1909,1876-1914,89,The Head Master,"Old What School, New Deer",,Old What School,New Deer,Elementary ,Board,,20,,https://biodiversitylibrary.org/page/57407604,
14.07.1909,1876-1914,89,The Head Mistress,"Girls School, Ewell, Surrey",,Girls School,Ewell,Elementary ,Voluntary,Church of England ,20,,https://biodiversitylibrary.org/page/57407604,
24.08.1909,1876-1914,91,"H E Philips Esq, Instructor of Woodwork","Dingle Lane Special School, Dingle Lane, Liverpool","Philips, H E",Dingle Lane Special School,Liverpool,Elementary ,SEN,Liverpool County Council ,24,,https://biodiversitylibrary.org/page/57407606,
