EventDate,Period,Page number (if applic),Recipient name (original transcription),Nature of recipient (original transcription),Name,Institution - common name from Exit Books,Town/City,Level of study ,School type,Denomination/organisation,No. of objects,Event information (any extra information not in list of specimens),BHL Exit Book Link,BHL School Letter Book Link (Vol 1 only)
23.01.1896,1876-1914,491,H Barwick Esq,"Board Schools, South Wigston, near Leicester","Barwick, H",Board Schools,Leicester,Elementary ,Board,,11,,https://biodiversitylibrary.org/page/55370886,https://biodiversitylibrary.org/page/58048030
24.01.1896,1876-1914,491,W Dunstan,"Chesterton National Boys School, Newcastle-under-Lyme, Stafford","Dunstan, W",Chesterton National Boys School,Stafford,Elementary ,Voluntary ,Church of England ,14,,https://biodiversitylibrary.org/page/55370886,https://biodiversitylibrary.org/page/58048032
24.01.1896,1876-1914,492,William Oliver Esq,"Westbury School, Shrewsbury","Oliver, William",Westbury School,Shrewsbury,Elementary ,Voluntary ,Church of England ,13,Ackd 30.1.96 J. Mst,https://biodiversitylibrary.org/page/55370887,https://biodiversitylibrary.org/page/58048034
24.01.1896,1876-1914,493,J Oswald Esq,"St Ann's Board School, Rotherham","Oswald, J",St Ann's Board School,Rotherham,Elementary ,Board,,12,Ackd by Mr A Woodhead 28.1.96 J. Mst,https://biodiversitylibrary.org/page/55370888,https://biodiversitylibrary.org/page/58048036
24.01.1896,1876-1914,493,J Pearce Esq,"Alconbury School, Huntingdon","Pearce, J",Alconbury School,Huntingdon,Elementary ,Voluntary ,Church of England ,11,Ackd 28.1.96 J. Mst,https://biodiversitylibrary.org/page/55370888,https://biodiversitylibrary.org/page/58048038
24.01.1896,1876-1914,494,H Thorogood Esq,"Trust Schools, Whitstable","Thorogood, H",Trust Schools,Whitstable,Secondary ,Endowed/grammar ,,13,,https://biodiversitylibrary.org/page/55370889,https://biodiversitylibrary.org/page/58048040
24.01.1896,1876-1914,494,B Bassford Esq,"Otley Road Board School, Bradford","Bassford, B",Otley Road Board School,Bradford,Elementary ,Endowed/grammar,,11,,https://biodiversitylibrary.org/page/55370889,
24.01.1896,1876-1914,495,D Saunders Thomas Esq,"British Schools, Llandovery, S Wales","Thomas, D Saunders",British Schools,Llandovery,Elementary ,Voluntary ,British and Foreign School Society,12,Ackd 27.1.96 J. Mst,https://biodiversitylibrary.org/page/55370890,https://biodiversitylibrary.org/page/58048042
15.02.1896,1876-1914,496,Miss J Norris,"Northam Infants School, Southampton","Norris, J",Northam Infants School,Southampton,Elementary ,Voluntary ,Church of England ,14,,https://biodiversitylibrary.org/page/55370891,https://biodiversitylibrary.org/page/58048044
15.02.1896,1876-1914,496,T S Carpenter Esq,"National Schools, Great Marlow, Bucks","Carpenter, T S",National Schools,Great Marlow,Elementary ,Voluntary ,Church of England ,15,Ackd 3.3.96 J. Mst,https://biodiversitylibrary.org/page/55370891,https://biodiversitylibrary.org/page/58048048
15.02.1896,1876-1914,497,Richard Syms Esq,"Custom House School, Victoria Docks E","Syms, Richard",Custom House School,London,Elementary ,Board,,15,Ackd 20.2.96 J. Mst,https://biodiversitylibrary.org/page/55370892,https://biodiversitylibrary.org/page/58048046
15.02.1896,1876-1914,497,H R Nichols Esq,"School House, Prickwillow, Ely, Cambridge","Nichols, H R",School House,Cambridge,Elementary ,Voluntary ,Church of England ,15,Ackd 19.2.96 J. Mst,https://biodiversitylibrary.org/page/55370892,https://biodiversitylibrary.org/page/58048050
15.02.1896,1876-1914,498,N Whittaker Esq,"Higher Grade Board School, Mantle Road, Brockley SE","Whittaker, N",Higher Grade Board School,London,Secondary ,Board,,15,,https://biodiversitylibrary.org/page/55370893,https://biodiversitylibrary.org/page/58048052
15.02.1896,1876-1914,499,D Evans Esq,"39 Farnsby Street, Near Swindon, Wilts [school]","Evans, D",,Swindon,Unknown,Unknown,,15,,https://biodiversitylibrary.org/page/55370894,https://biodiversitylibrary.org/page/58048056
15.02.1896,1876-1914,499,F Willis Esq,"Laxton School, Newark-on-Trent, Tuxford Station, GNR","Willis, F",Laxton School,Newark on Trent,Elementary ,Voluntary ,Church of England ,14,Ackd 24.2.96 J. Mst,https://biodiversitylibrary.org/page/55370894,https://biodiversitylibrary.org/page/58048054
15.02.1896,1876-1914,500,G Rawlinson Esq,"Hurstpierpoint, Sussex [school]","Rawlinson, George",,Hurstpierpoint,Secondary ,Private,,11,Ackd 20.2.96 J. Mst,https://biodiversitylibrary.org/page/55370895,https://biodiversitylibrary.org/page/58048058
15.02.1896,1876-1914,500,W Walters,"Twynyrodyn Boys School, Merthyr Tydfil, S Wales","Walters, W",Twynyrodyn Boys School,Merthyr Tydfil,Elementary ,Board,,9,,https://biodiversitylibrary.org/page/55370895,https://biodiversitylibrary.org/page/58048060
20.05.1896,1876-1914,502,"E E Castle Esq, Head Master",Barton Turf Schools,"Castle, E E",Barton Turf Schools,Barton Turf,Elementary ,Voluntary ,Church of England ,25,"Via Wrotham Station, GER",https://biodiversitylibrary.org/page/55370897,https://biodiversitylibrary.org/page/58048062
20.05.1896,1876-1914,503,"G J Vine Esq, Head Master","Parochial Boys School, Liskeard, Cornwall","Vine, G J",Parochial Boys School,Liskeard,Elementary ,Voluntary ,Church of England ,25,,https://biodiversitylibrary.org/page/55370898,https://biodiversitylibrary.org/page/58048064
20.05.1896,1876-1914,504,Mr J Alderson,"Chevington North School, Acklington, Northumberland","Alderson, J",Chevington North School,Acklington,Elementary ,Board,,24,,https://biodiversitylibrary.org/page/55370899,
20.05.1896,1876-1914,505,G Cook,"Church Boys School, Bideford, Devon","Cook, G",Church Boys School,Bideford,Elementary ,Voluntary ,Church of England ,20,Ackd 25.5.96 J. Mst,https://biodiversitylibrary.org/page/55370900,https://biodiversitylibrary.org/page/58048068
20.05.1896,1876-1914,506,A H Thatcher Esq,"Board Schools, Leigh, Sussex","Thatcher, A H",Board Schools,Leigh,Elementary ,Board,,19,Ackd 25.5.96 J. Mst,https://biodiversitylibrary.org/page/55370901,https://biodiversitylibrary.org/page/58048070
20.05.1896,1876-1914,507,"G E Creed Esq, Head Master","Sheldwich School, near Faversham","Creed, G E",Sheldwich School,Faversham,Elementary ,Voluntary ,Church of England ,20,Ackd 27.5.96 J. Mst,https://biodiversitylibrary.org/page/55370902,https://biodiversitylibrary.org/page/58048072
20.05.1896,1876-1914,507,"R B Kepple Esq, Head Master","Eastgate School, Weardale, Darlington, Durham","Kepple, R B",Eastgate School,Durham,Elementary ,Voluntary ,Church of England ,23,Ackd by E Blakey 25.5.96 J. Mst,https://biodiversitylibrary.org/page/55370902,https://biodiversitylibrary.org/page/58048074
20.05.1896,1876-1914,508,"Miss James, Head Mistress","Troynyrodyn Girls School, Merthyr Tydfil, South Wales ",James,Troynyrodyn Girls School,Merthyr Tydfil,Elementary ,Board,,22,Ackd 23.5.96 J. Mst,https://biodiversitylibrary.org/page/55370903,https://biodiversitylibrary.org/page/58048076
20.05.1896,1876-1914,509,"Miss E Leonard, Head Mistress","Ward Schools, 32 Botolph Lane, EC","Leonard, E",Ward Schools,London,Elementary ,Charity ,"St Botolph's, Billingsgate",14,Ackd 21.5.96 J. Mst,https://biodiversitylibrary.org/page/55370904,https://biodiversitylibrary.org/page/58048080
20.05.1896,1876-1914,510,"Daniel Jackson Esq, Head Master",East Bodre National School near Southampton,"Jackson, Daniel",East Bodre National School,Southampton,Elementary ,Voluntary ,Church of England ,11,,https://biodiversitylibrary.org/page/55370905,https://biodiversitylibrary.org/page/58048078
20.05.1896,1876-1914,510,"Walter Burt Esq, Head Master","Haldon House School, Colomberie, Jersey","Burt, Walter",Haldon House School,Colomberie,Unknown,Unknown,,10,,https://biodiversitylibrary.org/page/55370905,https://biodiversitylibrary.org/page/58048082
20.05.1896,1876-1914,511,"J H Wood Esq, Head Master","Sholing House School, Southampton","Wood, J H",Sholing House School,Southampton,Elementary ,Board,,12,,https://biodiversitylibrary.org/page/55370906,https://biodiversitylibrary.org/page/58048084
19.10.1896,1876-1914,511,Miss A Bell,"Board School, Swalwell, RS6 Durham",Bell,Board School,Durham,Elementary ,Board,,31,,https://biodiversitylibrary.org/page/55370906,Missing from Letter Book
20.10.1896,1876-1914,511,James Newbrook Esq Head Master,"National Schools, Hungerford, Berks","Newbrook, James",National Schools,Hungerford,Elementary ,Voluntary ,Church of England ,24,,https://biodiversitylibrary.org/page/55370906,https://biodiversitylibrary.org/page/58048086
20.10.1896,1876-1914,511,"F Robinson Esq, Head Teacher","Mixed Dept, Bradshaw Board School, Halifax","Robinson, F",Bradshaw Board School,Halifax,Elementary ,Board,,26,Ackd 28.10.96 J. Mst,https://biodiversitylibrary.org/page/55370906,https://biodiversitylibrary.org/page/58048088
20.10.1896,1876-1914,511,"J W Sleight Esq, Head Master","Wesleyan School House, Blidworth, Mansfield","Sleight, J W",Wesleyan School House,Mansfield,Elementary ,Voluntary ,Wesleyan ,22,Ackd 26.10.96 J. Mst,https://biodiversitylibrary.org/page/55370906,https://biodiversitylibrary.org/page/58048090
20.10.1896,1876-1914,512,"C A Paddy Esq, Head Master","Boroughbridge School, Bridgwater, Somerset ","Paddy, C A",Boroughbridge School,Bridgwater,Unknown,Unknown,,22,,https://biodiversitylibrary.org/page/55370907,https://biodiversitylibrary.org/page/58048092
20.10.1896,1876-1914,512,"Miss M Dunne, Head Mistress","Girl's Board School, Llangollen, N Wales","Dunne, M",Girl's Board School,Llangollen,Elementary ,Board,,28,Ackd by Miss A Williams 28.10.96 J. Mst,https://biodiversitylibrary.org/page/55370907,https://biodiversitylibrary.org/page/58048094
20.10.1896,1876-1914,512,Miss J P Davidson,"Doncaster Road Board Infants School, Mexborough Yorks","Davidson, J P",Doncaster Road Board Infants School,Mexborough,Elementary ,Board,,25,Ackd 23.10.96 J. Mst,https://biodiversitylibrary.org/page/55370907,https://biodiversitylibrary.org/page/58048096
20.10.1896,1876-1914,512,"W T Willmer Esq, Head Master","School House, Ipstones, Stoke-on-Trent","Wilmer, W T",School House,Stoke-on-Trent,Elementary ,Voluntary ,Church of England ,25,Ackd 24.10.96 J. Mst,https://biodiversitylibrary.org/page/55370907,https://biodiversitylibrary.org/page/58048100
20.10.1896,1876-1914,512,"Miss A Bugg, Head Teacher","S Giles Girls School, Cambridge","Bugg, A",St Giles Girls School,Cambridge,Elementary ,Voluntary ,Church of England ,24,,https://biodiversitylibrary.org/page/55370907,
20.10.1896,1876-1914,512,"A Hughes Esq, Head Teacher","School house, Long Whatton, Loughborough","Hughes, A",School house,Loughborough,Elementary ,Voluntary ,Church of England ,24,Ackd 24.10.96 J. Mst,https://biodiversitylibrary.org/page/55370907,https://biodiversitylibrary.org/page/58048102
20.10.1896,1876-1914,512,"D R Price Esq, Head Master","Bryndw Schools, Kenfig Hill, Glamorgan","Price, D R",Bryndw Schools,Glamorgan,Unknown,Unknown,,25,Ackd 24.10.96 J. Mst,https://biodiversitylibrary.org/page/55370907,https://biodiversitylibrary.org/page/58048104
20.10.1896,1876-1914,513,"Miss A Jeffrey, Head Mistress","St John's Girls School, Wolverhampton","Jeffrey, A",St John's Girls School,Wolverhampton,Elementary ,Voluntary ,Church of England ,22,,https://biodiversitylibrary.org/page/55370908,https://biodiversitylibrary.org/page/58048106
20.10.1896,1876-1914,513,"J Nicholls Esq, Head Master","Simpson Street School, Sunderland","Nicholls, J ",Simpson Street School,Sunderland,Elementary ,Board,,20,,https://biodiversitylibrary.org/page/55370908,https://biodiversitylibrary.org/page/58048108
26.03.1897,1876-1914,516,"W Haigh Esq, Head Master","Redlands Boys Board School, Reading","Haigh, W",Redlands Boys Board School,Reading,Elementary ,Board,,20,Ackd 31.3.97 J. Mst,https://biodiversitylibrary.org/page/55370911,https://biodiversitylibrary.org/page/58048110
26.03.1897,1876-1914,517,"Miss M A Blamire, The Head Mistress","Girls School, Murton Colliery, Sunderland","Blamire, M A",Girls School,Sunderland,Elementary ,Board,,18,Ackd 1.4.97 J. Mst,https://biodiversitylibrary.org/page/55370912,https://biodiversitylibrary.org/page/58048112
26.03.1897,1876-1914,517,"Miss S Dix, The Head Mistress","Wheatley Street Girls Board School, Coventry","Dix, S",Wheatley Street Girls Board School,Coventry,Elementary ,Board,,22,Ackd 30.3.97 J. Mst,https://biodiversitylibrary.org/page/55370912,https://biodiversitylibrary.org/page/58048114
26.03.1897,1876-1914,517,"Frederick Lewis Esq, The Head Master","Aylesbury Road Board School, Bromley, Kent","Lewis, Frederick",Aylesbury Road Board School,Bromley,Elementary ,Board,,20,Ackd 20.3.97 J. Mst,https://biodiversitylibrary.org/page/55370912,https://biodiversitylibrary.org/page/58048116
26.03.1897,1876-1914,517,"Thos Johnson Esq, The Head Master","National School, Woodhall Spa, Lincoln","Johnson, Thomas",National School,Lincoln,Elementary ,Voluntary ,Church of England ,20,Ackd 8.4.97 J. Mst,https://biodiversitylibrary.org/page/55370912,https://biodiversitylibrary.org/page/58048120
26.03.1897,1876-1914,517,"Thos M Pullen Esq, The Head Master","Boys Board School, Diss, Norfolk","Pullen, Thomas M",Boys Board School,Diss,Elementary ,Board,,21,Ackd 20.3.97 J. Mst,https://biodiversitylibrary.org/page/55370912,https://biodiversitylibrary.org/page/58048122
26.03.1897,1876-1914,517,"Moses Angel Esq, Head Master","Jews Free School, Bell Lane, Spitalfields","Angel, Moses",Jews Free School,London,Elementary ,Voluntary ,Jewish,27,Ackd 30.3.97 J. Mst,https://biodiversitylibrary.org/page/55370912,https://biodiversitylibrary.org/page/58048126
26.03.1897,1876-1914,517,"Miss M A Walsh, Head Mistress","St Francis Girls School, Stratford, London E","Walsh, M A",St Francis Girls School,London,Elementary ,Voluntary ,Roman Catholic ,18,,https://biodiversitylibrary.org/page/55370912,https://biodiversitylibrary.org/page/58048128
26.03.1897,1876-1914,518,"D Renton Esq, Head Master","Public School, Macduff, Banffshire","Renton, D",Public School,Macduff,Elementary ,Board,,18,Ackd 31.3.97 J. Mst,https://biodiversitylibrary.org/page/55370913,https://biodiversitylibrary.org/page/58048129
26.03.1897,1876-1914,518,"F J Emms Esq, Head Master","Endowed School, Hampton Wick","Emms, F J",Endowed School,Hampton Wick,Secondary ,Endowed/grammar ,,15,,https://biodiversitylibrary.org/page/55370913,https://biodiversitylibrary.org/page/58048130
26.03.1897,1876-1914,518,"Miss Clara L Randell, Head Mistress","Board School, Crowborough, Sussex","Randell, Clara L",Board School,Crowborough,Elementary ,Board,,18,,https://biodiversitylibrary.org/page/55370913,https://biodiversitylibrary.org/page/58048132
26.03.1897,1876-1914,518,"Miss Jane Sibley, Head Mistress",Cuxton School,"Sibley, Jane",Cuxton School,Cuxton,Elementary ,Voluntary ,Church of England ,17,Ackd 31.3.97 J. Mst per Cuxton Station SER,https://biodiversitylibrary.org/page/55370913,https://biodiversitylibrary.org/page/58048134
26.03.1897,1876-1914,518,"J W Moore Esq, Head Master","Board School, Wrenthorpe, Wakefield","Moore, J W",Board School,Wakefield,Elementary ,Board,,21,Ackd 3.4.97 J. Mst,https://biodiversitylibrary.org/page/55370913,https://biodiversitylibrary.org/page/58048136
26.03.1897,1876-1914,518,"Miss M Frost, Head Mistress","Euxton Endowed School, near Chorley, Lancs","Frost, M",Euxton Endowed School,Chorley,Elementary ,Charity ,,25,,https://biodiversitylibrary.org/page/55370913,
26.03.1897,1876-1914,519,"A J Dodd Esq, Head Master","Board School, Luddenden Fort, via Manchester","Dodd, A J",Board School,Luddenden,Elementary ,Board,,23,,https://biodiversitylibrary.org/page/55370914,https://biodiversitylibrary.org/page/58048140
26.03.1897,1876-1914,519,"F Mitchel Esq, Head Master","Heald Board School, Bacup, Lancashire","Mitchel, F",Heald Board School,Bacup,Elementary ,Board,,23,,https://biodiversitylibrary.org/page/55370914,https://biodiversitylibrary.org/page/58048142
26.03.1897,1876-1914,519,"Miss A Horsley, Head Mistress","Girls National School, Alexandra Street, Kettering","Horsley, A",Girls National School,Kettering,Elementary ,Voluntary ,Church of England ,23,Ackd 1.4.97 J. Mst,https://biodiversitylibrary.org/page/55370914,https://biodiversitylibrary.org/page/58048144
26.03.1897,1876-1914,519,"A Flux Esq, Head Master","The Schools, Millbrook, Hants","Flux, A",The Schools,Millbrook,Elementary ,Voluntary ,Church of England ,28,,https://biodiversitylibrary.org/page/55370914,https://biodiversitylibrary.org/page/58048146
19.07.1897,1876-1914,520,"Mrs R Stephenson, Head Mistress","Waterside National School, Colne, Lancashire","Stephenson, R",Waterside National School,Colne,Elementary ,Voluntary ,Church of England ,22,Ackd 22.7.97 J. Mst,https://biodiversitylibrary.org/page/55370915,https://biodiversitylibrary.org/page/58048148
19.07.1897,1876-1914,520,"E Lucas Esq, Head Master","Board School, Wivelscombe, Taunton","Lucas, E",Board School,Taunton,Elementary ,Board,,22,,https://biodiversitylibrary.org/page/55370915,https://biodiversitylibrary.org/page/58048150
19.07.1897,1876-1914,520,"Miss A E Hilbert, The Head Mistress","Girls National School, Kent","Hilbert, A E",Girls National School,Dartford,Elementary ,Voluntary ,Church of England ,21,Ackd 23.7.97 J. Mst,https://biodiversitylibrary.org/page/55370915,https://biodiversitylibrary.org/page/58048154
19.07.1897,1876-1914,520,"C E Dunmore Esq, The Head Teacher","Boys School, Boys Dept, Scarsdale Rd, Camberwell","Dunmore, Charles E",Boys School,London,Elementary ,Board,,20,Ackd 21.7.97 J. Mst,https://biodiversitylibrary.org/page/55370915,https://biodiversitylibrary.org/page/58048152
19.07.1897,1876-1914,520,"Miss A Underwood, The Head Mistress","School House, Belchamp S Paul, Clare, Suffolk","Underwood, A",School House,Clare,Elementary ,Voluntary ,Church of England ,21,,https://biodiversitylibrary.org/page/55370915,https://biodiversitylibrary.org/page/58048156
19.07.1897,1876-1914,520,"Arthur B Moorby Esq, The Head Master","Boys School, Cottingham, Hull","Moorby, Arthur B",Boys School,Hull,Elementary ,Board,,19,Ackd 23.7.97 J. Mst,https://biodiversitylibrary.org/page/55370915,https://biodiversitylibrary.org/page/58048158
19.07.1897,1876-1914,521,"Miss M Elliott, The Head Mistress","Annunciation Infants School, Brighton","Elliott, M",Annunciation Infants School,Brighton,Elementary ,Voluntary ,Church of England ,23,,https://biodiversitylibrary.org/page/55370916,
19.07.1897,1876-1914,521,"A Bucknell Esq, The Head Master","Yardley Wood School, near Birmingham","Bucknell, A",Yardley Wood School,Birmingham,Elementary ,Board,,22,,https://biodiversitylibrary.org/page/55370916,https://biodiversitylibrary.org/page/58048164
19.07.1897,1876-1914,521,"William Carr Esq,  The Head Master","National School, Newport, Salop","Carr, William",National School,Salop,Elementary ,Voluntary ,Church of England ,21,Ackd 21.7.97 J. Mst,https://biodiversitylibrary.org/page/55370916,https://biodiversitylibrary.org/page/58048166
19.07.1897,1876-1914,521,"C Cree Esq, The Head Teacher","All Saints Schools, Herbert Road, Woolwich","Cree, C",All Saints Schools,London,Elementary ,Voluntary ,Church of England ,21,Ackd by Mr Geo Spencer 26.8.97,https://biodiversitylibrary.org/page/55370916,
19.07.1897,1876-1914,521,"J W Burnicle Esq, The Head Master","Bolton-cum-Redmire School, Leyburn, Yorks","Burnicle, J W",Bolton-cum-Redmire School,Leyburn,Elementary ,Board,,20,,https://biodiversitylibrary.org/page/55370916,
18.03.1898,1876-1914,525,"Miss E Leicester, the Head Mistress","The Wyggeston High School for Girls, Leicester","Leicester, E",Wyggeston High School for Girls,Leicester,Secondary ,Endowed/Grammar ,,20,Ackd 22.3.98 J. Mst,https://biodiversitylibrary.org/page/55370920,https://biodiversitylibrary.org/page/58048170
18.03.1898,1876-1914,525,"T W Sanders Esq, The Head Master","Board School, Chard","Sanders, T W",Board School,Chard,Elementary ,Board,,16,,https://biodiversitylibrary.org/page/55370920,https://biodiversitylibrary.org/page/58048176
18.03.1898,1876-1914,525,"W Hooper Esq, The Head Master","Whitehouse Road Board School, Croydon","Hooper, W",Whitehouse Road Board School,Croydon,Elementary ,Board,,19,Ackd 22.3.98 J. Mst,https://biodiversitylibrary.org/page/55370920,https://biodiversitylibrary.org/page/58048178
18.03.1898,1876-1914,525,"W Beecher Esq, The Head Master","All Saints School, College Road, Maidstone","Beecher, W",All Saints School,Maidstone,Elementary ,Voluntary ,Church of England ,17,Ackd 23.3.98 J. Mst,https://biodiversitylibrary.org/page/55370920,https://biodiversitylibrary.org/page/58048180
18.03.1898,1876-1914,525,"Miss Y Shiffen, The Head Mistress","Mt Carmel Girls School, Sussex Street, Regent Road, Salford","Shiffen, Y",Mount Carmel Girls School,Salford,Secondary ,Board,,14,,https://biodiversitylibrary.org/page/55370920,https://biodiversitylibrary.org/page/58048182
18.03.1898,1876-1914,525,"W A Minards Esq, The Head Master","Lanreath N School, Dulve, RS6 Cornwall","Minards, W A",Lanreath North School,Dulve,Elementary ,Voluntary ,Church of England ,15,Ackd 23.3.98 J. Mst,https://biodiversitylibrary.org/page/55370920,https://biodiversitylibrary.org/page/58048184
18.03.1898,1876-1914,526,"S Morrish Esq, The Head Master","Ridge School, Romsey, Hants","Morrish, S",Ridge School,Romsey,Elementary ,Voluntary ,Church of England ,14,,https://biodiversitylibrary.org/page/55370921,https://biodiversitylibrary.org/page/58048186
18.03.1898,1876-1914,526,The Head Mistress,"St Werburgh's Girls School, Queen Street, Chester",,St Werburgh's Girls School,Chester,Elementary ,Voluntary ,Roman Catholic ,17,,https://biodiversitylibrary.org/page/55370921,
18.03.1898,1876-1914,526,"Miss A Smith, The Head Mistress","St Mary's Girls School, Lichfield","Smith, A",St Mary's Girls School,Lichfield,Elementary ,Voluntary ,Church of England ,18,,https://biodiversitylibrary.org/page/55370921,https://biodiversitylibrary.org/page/58048188
18.03.1898,1876-1914,526,The Sisters,"St Augustine's, Darlington",,St Augustine's,Darlington,Elementary ,Voluntary ,Roman Catholic ,9,,https://biodiversitylibrary.org/page/55370921,
18.03.1898,1876-1914,526,"T P John Esq, The Head Teacher","Board School, Trelaw, near Pontypridd","John, T P",Board School,Pontypridd,Elementary ,Board,,18,Ackd 23.3.98 J. Mst,https://biodiversitylibrary.org/page/55370921,https://biodiversitylibrary.org/page/58048194
18.03.1898,1876-1914,526,"J E Puddicombe Esq, The Head Teacher","Board School, Tatworth, Chard","Puddicombe, J E",Board School,Chard,Elementary ,Board,,12,,https://biodiversitylibrary.org/page/55370921,
18.03.1898,1876-1914,526,"Miss J Foreman, The Head Teacher","Mill Lane Infants School, Stockton-on-Tees","Foreman, J",Mill Lane Infants School,Stockton-on-Tees,Elementary ,Board,,14,Ackd 24.3.98 J. Mst,https://biodiversitylibrary.org/page/55370921,https://biodiversitylibrary.org/page/58048196
18.03.1898,1876-1914,527,"Miss A Bailey, The Head Mistress","Christian Church Schools, Rochdale Rd, Bury, Lancashire","Bailey, A",Christian Church Schools,Bury,Elementary ,Voluntary ,Church of England ,12,,https://biodiversitylibrary.org/page/55370922,
18.03.1898,1876-1914,527,"Miss J Taylor, The Head Mistress","Red Hall Board School, Dudley","Taylor, J",Red Hall Board School,Dudley,Elementary ,Board,,15,,https://biodiversitylibrary.org/page/55370922,https://biodiversitylibrary.org/page/58048200
18.03.1898,1876-1914,527,"R E Bevan Esq, The Head Mistress","Board School, Llanarth, Llandysul, S Wales","Bevan, R E ",Board School,Llandysul,Elementary ,Board,,13,,https://biodiversitylibrary.org/page/55370922,https://biodiversitylibrary.org/page/58048202
18.03.1898,1876-1914,527,"M Scales Esq, The Head Master","British School, Bailiffe Bridge, Brighouse, Yorks","Scales, M",British School,Brighouse,Elementary ,Voluntary ,British and Foreign School Society,13,Ackd 23.3.98,https://biodiversitylibrary.org/page/55370922,https://biodiversitylibrary.org/page/58048204
18.03.1898,1876-1914,527,"F Poulter Esq, The Head Master","British Schools, Moreton-in-Marsh, Glos.","Poulter, F",British Schools,Moreton-in-Marsh,Elementary ,Voluntary ,British and Foreign School Society,15,Ackd 22.3.98 J. Mst,https://biodiversitylibrary.org/page/55370922,https://biodiversitylibrary.org/page/58048206
18.03.1898,1876-1914,527,"T Vautier Esq, The Head Master","St James School, Boys Dept, La Motte Street, St Heliers","Vautier, T",St James School,St Heliers,Elementary ,Voluntary ,Church of England ,13,Ackd 23.3.98. J. Mst,https://biodiversitylibrary.org/page/55370922,https://biodiversitylibrary.org/page/58048208
26.04.1898,1876-1914,527,"G Hustwaite Esq, The Head Master","Board Schools, Higham Ferrers, Northants","Hustwaite, G",Board Schools,Higham Ferrers,Elementary ,Board,,11,Ackd 28.4.98 J. Mst,https://biodiversitylibrary.org/page/55370922,https://biodiversitylibrary.org/page/58048210
26.04.1898,1876-1914,528,"Harvey G Brew Esq, The Head Master","Trumpington Road Boys' School, Forest Gate, E","Brew, Harvey G",Trumpington Road Boys School,London,Elementary ,Board,,11,Ackd 28.4.98 J. Mst,https://biodiversitylibrary.org/page/55370923,https://biodiversitylibrary.org/page/58048212
26.04.1898,1876-1914,528,"H J Locke Esq, The Head Master","St Andrews Boys School, S Croydon","Locke, H J",St Andrews Boys School,Croydon,Elementary ,Voluntary ,Church of England ,10,,https://biodiversitylibrary.org/page/55370923,https://biodiversitylibrary.org/page/58048214
26.04.1898,1876-1914,528,"G Lewis Esq, The Head Master","Board School, Maerdy, Glam, S Wales","Lewis, G",Board School,Glamorgan,Elementary ,Board,,10,,https://biodiversitylibrary.org/page/55370923,https://biodiversitylibrary.org/page/58048216
26.04.1898,1876-1914,528,"Charles Potter Esq, The Head Master","Ilkeston Road Board School, Nottingham","Potter, Charles",Ilkeston Road Board School,Nottingham,Elementary ,Board,,10,Ackd 3.5.98 J. Mst,https://biodiversitylibrary.org/page/55370923,https://biodiversitylibrary.org/page/58048218
26.04.1898,1876-1914,528,"Miss G H Nelson, The Head Mistress","Downhills, Philip Lane, Board School","Nelson, G H",Downhills Board School,London,Elementary ,Board,,9,,https://biodiversitylibrary.org/page/55370923,https://biodiversitylibrary.org/page/58048220
26.04.1898,1876-1914,528,"T H Martin Esq, The Head Master","Cannington National Schools, Bridgwater, Somerset","Martin, T H",Cannington National Schools,Bridgwater,Elementary ,Voluntary ,Church of England ,9,,https://biodiversitylibrary.org/page/55370923,https://biodiversitylibrary.org/page/58048222
26.04.1898,1876-1914,528,"J Hodson, The Head Master","National School, Barton, Cambs","Hodson, J",National School,Barton,Elementary ,Voluntary ,Church of England ,8,,https://biodiversitylibrary.org/page/55370923,https://biodiversitylibrary.org/page/58048224
26.04.1898,1876-1914,528,"F Jackson Esq, The Head Master","School House, Bawburgh, Norwich ","Jackson, F",School House,Norwich,Elementary ,Board,,9,Ackd 4.5.98 J. Mst,https://biodiversitylibrary.org/page/55370923,https://biodiversitylibrary.org/page/58048226
20.07.1898,1876-1914,532,A E Buckhurst Esq,"The County School, Richmond, Surrey","Buckhurst, A E",County School for Boys,London,Secondary ,Board,,17,,https://biodiversitylibrary.org/page/55370927,
06.10.1898,1876-1914,533,A E Buckhurst Esq,"The County School, Richmond, Surrey","Buckhurst, A E",County School for Boys,London,Secondary ,Board,,1,"Co Ld"" 27.9.98",https://biodiversitylibrary.org/page/55370928,
28.04.1899,1876-1914,538,"Miss M A Elson, The Head Mistress","Parochial School, Liskeard, Cornwall","Elson, M A",Parochial School,Liskeard,Elementary ,Voluntary ,Church of England ,24,Ackd 3.5.99,https://biodiversitylibrary.org/page/55370933,https://biodiversitylibrary.org/page/58048228
28.04.1899,1876-1914,538,"S Gray Esq, The Head Master","Kirkdale Road School, Leytonstone E","Gray, S",Kirkdale Road School,Leytonstone,Elementary ,Board,,23,,https://biodiversitylibrary.org/page/55370933,https://biodiversitylibrary.org/page/58048230
28.04.1899,1876-1914,538,"J G Mills Esq, The Head Master","Saul British School, near Stonehouse, Gloucester","Mills, J G",Saul British School,Gloucester,Elementary ,Voluntary ,British and Foreign School Society,24,Ackd 13.5.99,https://biodiversitylibrary.org/page/55370933,https://biodiversitylibrary.org/page/58048232
